name,sportradar,pinnacle,sbtech,bwin,betcenter,meridian,golden_palace,ladbrokes,bingoal
jupiler_pro_league,38,1817,40815,16409,6898,https://meridianbet.be/sails/sport/58/region/26/league/first-division-a,2965,be-jupiler-league1,25
bundesliga,42,1842,40481,43,6843,https://meridianbet.be/sails/sport/58/region/2/league/bundesliga,2950,de-bundesliga,38
premier_league,1,1980,40253,46,6823,https://meridianbet.be/sails/sport/58/region/1/league/premier-league,2936,ing-premier-league,35
ligue_1,4,2036,40032,4131,6855,https://meridianbet.be/sails/sport/58/region/5/league/ligue-1,2943,fr-ligue-1,26
serie_a,33,2436,40030,42,7134,https://meridianbet.be/sails/sport/58/region/4/league/serie-a,2942,it-serie-a,39
la_liga,36,2196,40031,18108,6938,https://meridianbet.be/sails/sport/58/region/3/league/la-liga,2941,es-liga,37
eredivisie,39,1928,41372,102847,6931,https://meridianbet.be/sails/sport/58/region/25/league/eredivisie,3065,nl-eredivisie1,24
uefa_nations_league,67293,200719,110988,102857,38941,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-nations-league,5098,uefa-nations-league,6595
fifa_world_cup_qualifiers_europe,1757,2015,24341,14443,14539,https://meridianbet.be/sails/sport/58/region/21/league/fifa-world-cup-2022-european-qualifiers,19414,wd-qual-mondiali,9617
fifa_world_cup_qualifiers_europe,1758,2015,24341,14444,14540,https://meridianbet.be/sails/sport/58/region/21/league/fifa-world-cup-2022-european-qualifiers,19414,wd-qual-mondiali,9617
fifa_world_cup_qualifiers_europe,1759,2015,24341,14445,14541,https://meridianbet.be/sails/sport/58/region/21/league/fifa-world-cup-2022-european-qualifiers,19414,wd-qual-mondiali,9617
fifa_world_cup_qualifiers_europe,1760,2015,24341,14446,14542,https://meridianbet.be/sails/sport/58/region/21/league/fifa-world-cup-2022-european-qualifiers,19414,wd-qual-mondiali,9617
fifa_world_cup_qualifiers_europe,1764,2015,24341,14447,14543,https://meridianbet.be/sails/sport/58/region/21/league/fifa-world-cup-2022-european-qualifiers,19414,wd-qual-mondiali,9617
fifa_world_cup_qualifiers_europe,1763,2015,24341,14448,14544,https://meridianbet.be/sails/sport/58/region/21/league/fifa-world-cup-2022-european-qualifiers,19414,wd-qual-mondiali,9617
fifa_world_cup_qualifiers_europe,1762,2015,24341,14449,14545,https://meridianbet.be/sails/sport/58/region/21/league/fifa-world-cup-2022-european-qualifiers,19414,wd-qual-mondiali,9617
fifa_world_cup_qualifiers_europe,1761,2015,24341,14450,14546,https://meridianbet.be/sails/sport/58/region/21/league/fifa-world-cup-2022-european-qualifiers,19414,wd-qual-mondiali,9617
fifa_world_cup_qualifiers_europe,7255,2015,24341,14451,14547,https://meridianbet.be/sails/sport/58/region/21/league/fifa-world-cup-2022-european-qualifiers,19414,wd-qual-mondiali,9617
fifa_world_cup_qualifiers_europe,97878,2015,24341,77830,54355,https://meridianbet.be/sails/sport/58/region/21/league/fifa-world-cup-2022-european-qualifiers,19414,wd-qual-mondiali,9617
uefa_champions_league,1462,2627,40685,13914,27958,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-champions-league,16808,eu-champions-league,375
uefa_champions_league,1463,2627,40685,13915,27959,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-champions-league,16808,eu-champions-league,375
uefa_champions_league,1464,2627,40685,13916,27960,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-champions-league,16808,eu-champions-league,375
uefa_champions_league,1465,2627,40685,13917,27961,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-champions-league,16808,eu-champions-league,375
uefa_champions_league,1466,2627,40685,13922,27962,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-champions-league,16808,eu-champions-league,375
uefa_champions_league,1467,2627,40685,13921,27963,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-champions-league,16808,eu-champions-league,375
uefa_champions_league,1468,2627,40685,13918,27964,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-champions-league,16808,eu-champions-league,375
uefa_champions_league,1469,2627,40685,13920,27965,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-champions-league,16808,eu-champions-league,375
uefa_europa_league,10908,2630,41410,18254,27967,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-europa-league,16809,eu-europa-league,376
uefa_europa_league,10911,2630,41410,18256,27968,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-europa-league,16809,eu-europa-league,376
uefa_europa_league,10912,2630,41410,18258,27969,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-europa-league,16809,eu-europa-league,376
uefa_europa_league,10913,2630,41410,18260,27970,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-europa-league,16809,eu-europa-league,376
uefa_europa_league,10914,2630,41410,18262,27971,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-europa-league,16809,eu-europa-league,376
uefa_europa_league,10915,2630,41410,18264,27972,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-europa-league,16809,eu-europa-league,376
uefa_europa_league,10916,2630,41410,18266,27973,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-europa-league,16809,eu-europa-league,376
uefa_europa_league,10917,2630,41410,18268,27974,https://meridianbet.be/sails/sport/58/region/1641/league/uefa-europa-league,16809,eu-europa-league,376
