event_id,sportradar_id,book,league,ds
4883526,"27883088","altenar","bundesliga",2021-08-04
4883532,"27883100","altenar","bundesliga",2021-08-04
4883533,"27883102","altenar","bundesliga",2021-08-04
4883530,"27883096","altenar","bundesliga",2021-08-04
4883529,"27883094","altenar","bundesliga",2021-08-04
4883528,"27883092","altenar","bundesliga",2021-08-04
4883527,"27883090","altenar","bundesliga",2021-08-04
4883531,"27883098","altenar","bundesliga",2021-08-04
4883534,"27883104","altenar","bundesliga",2021-08-04
4883536,"27883108","altenar","bundesliga",2021-08-04
4883542,"27883120","altenar","bundesliga",2021-08-04
4883537,"27883110","altenar","bundesliga",2021-08-04
4883539,"27883114","altenar","bundesliga",2021-08-04
4883543,"27883122","altenar","bundesliga",2021-08-04
4883541,"27883118","altenar","bundesliga",2021-08-04
4883538,"27883112","altenar","bundesliga",2021-08-04
4883540,"27883116","altenar","bundesliga",2021-08-04
4883535,"27883106","altenar","bundesliga",2021-08-04
4856220,"27649198","altenar","jupiler_pro_league",2021-08-04
4856217,"27649200","altenar","jupiler_pro_league",2021-08-04
4856221,"27649202","altenar","jupiler_pro_league",2021-08-04
4856216,"27649204","altenar","jupiler_pro_league",2021-08-04
4856218,"27649206","altenar","jupiler_pro_league",2021-08-04
4856222,"27649208","altenar","jupiler_pro_league",2021-08-04
4856219,"27649210","altenar","jupiler_pro_league",2021-08-04
4856215,"27649212","altenar","jupiler_pro_league",2021-08-04
4856223,"27649214","altenar","jupiler_pro_league",2021-08-04
4892074,"27964616","altenar","la_liga",2021-08-04
4892072,"27964608","altenar","la_liga",2021-08-04
4892071,"27964604","altenar","la_liga",2021-08-04
4892069,"27964602","altenar","la_liga",2021-08-04
4892057,"27964594","altenar","la_liga",2021-08-04
4892068,"27964600","altenar","la_liga",2021-08-04
4892070,"27964596","altenar","la_liga",2021-08-04
4892073,"27964610","altenar","la_liga",2021-08-04
4892075,"27964618","altenar","la_liga",2021-08-04
4892076,"27964620","altenar","la_liga",2021-08-04
4883705,"27884712","altenar","ligue_1",2021-08-04
4883703,"27884708","altenar","ligue_1",2021-08-04
4883711,"27884724","altenar","ligue_1",2021-08-04
4883708,"27884718","altenar","ligue_1",2021-08-04
4883702,"27884706","altenar","ligue_1",2021-08-04
4883707,"27884716","altenar","ligue_1",2021-08-04
4883709,"27884720","altenar","ligue_1",2021-08-04
4883710,"27884722","altenar","ligue_1",2021-08-04
4883704,"27884710","altenar","ligue_1",2021-08-04
4883706,"27884714","altenar","ligue_1",2021-08-04
4883717,"27884736","altenar","ligue_1",2021-08-04
4883716,"27884734","altenar","ligue_1",2021-08-04
4883720,"27884742","altenar","ligue_1",2021-08-04
4883712,"27884726","altenar","ligue_1",2021-08-04
4883713,"27884728","altenar","ligue_1",2021-08-04
4883714,"27884730","altenar","ligue_1",2021-08-04
4883719,"27884740","altenar","ligue_1",2021-08-04
4883721,"27884744","altenar","ligue_1",2021-08-04
4883715,"27884732","altenar","ligue_1",2021-08-04
4883718,"27884738","altenar","ligue_1",2021-08-04
4866809,"27751052","altenar","premier_league",2021-08-04
4866818,"27751062","altenar","premier_league",2021-08-04
4866811,"27751054","altenar","premier_league",2021-08-04
4866814,"27751056","altenar","premier_league",2021-08-04
4866816,"27751058","altenar","premier_league",2021-08-04
4866815,"27751060","altenar","premier_league",2021-08-04
4866812,"27751070","altenar","premier_league",2021-08-04
4866810,"27751066","altenar","premier_league",2021-08-04
4866813,"27751064","altenar","premier_league",2021-08-04
4866817,"27751068","altenar","premier_league",2021-08-04
4918345,"28159782","altenar","seria_a",2021-08-04
